GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fiapx-api-video-status,org.jfm.controller.rest,VideoSyncResource,35,0,0,0,6,0,3,0,3,0
fiapx-api-video-status,org.jfm.controller.rest,VideoResource,33,0,2,0,7,0,4,0,3,0
fiapx-api-video-status,org.jfm.controller.rest.filters,ExceptionMapper,43,0,0,0,13,0,5,0,5,0
fiapx-api-video-status,org.jfm.infra.repository.adaptersql.entities,VideoEntity,38,0,0,0,16,0,11,0,11,0
fiapx-api-video-status,org.jfm.bootloader,AppContext,22,0,0,0,4,0,4,0,4,0
fiapx-api-video-status,org.jfm.bootloader,QuarkusMappingConfig,3,0,0,0,1,0,1,0,1,0
fiapx-api-video-status,org.jfm.domain.entities,Video,127,0,14,0,47,0,22,0,15,0
fiapx-api-video-status,org.jfm.domain.services,VideoShieldSyncService,205,0,16,0,50,0,17,0,9,0
fiapx-api-video-status,org.jfm.domain.services,VideoService,38,0,0,0,12,0,6,0,6,0
fiapx-api-video-status,org.jfm.domain.services,VideoCannonSyncService,38,0,0,0,13,0,2,0,2,0
fiapx-api-video-status,org.jfm.domain.entities.enums,Status,39,33,4,0,6,6,5,1,3,1
fiapx-api-video-status,org.jfm.domain.exceptions,ErrosSistemaEnum,42,0,0,0,9,0,3,0,3,0
fiapx-api-video-status,org.jfm.domain.exceptions,SqsException,4,0,0,0,2,0,1,0,1,0
fiapx-api-video-status,org.jfm.domain.exceptions,ErrorDetails,9,0,0,0,4,0,2,0,2,0
fiapx-api-video-status,org.jfm.domain.exceptions,EntityNotFoundException,4,0,0,0,2,0,1,0,1,0
fiapx-api-video-status,org.jfm.domain.exceptions,ErrorSqlException,4,0,0,0,2,0,1,0,1,0
fiapx-api-video-status,org.jfm.domain.exceptions,ParamException,4,0,0,0,2,0,1,0,1,0
fiapx-api-video-status,org.jfm.infra.repository.adaptersql.mapper,VideoMapperImpl,79,0,12,0,23,0,9,0,3,0
fiapx-api-video-status,org.jfm.controller.rest.dto,VideoReceivedDto,16,0,0,0,7,0,4,0,4,0
fiapx-api-video-status,org.jfm.infra.repository.adaptersql,VideoRepositoryImpl,149,0,0,0,37,0,7,0,7,0
